"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #leaseholders","Value #memory"
2022-09-05 15:18:00,34.148.111.75:26258,857,694,0.667,0.353,175725081,4858052,5735229,0,0,0.0737,1,5,0,410,13654357,1924443,2609,1083,0,14984150,0,98528,143969999,150563661,0,421,2420568064
2022-09-05 15:18:15,34.148.111.75:26258,857,699,0.667,0.336,176936678,359804,5348236,0,0,0.0725,1,11,0,410,13325032,1941538,2545,1088,0,14931721,0.0455,95174,139762128,146457195,0,421,2335936512
2022-09-05 15:18:30,34.148.111.75:26258,857,702,0.667,0.337,177315035,336100,5388369,0,0,0.0788,0,0,0,410,13169215,1949546,2519,1090,0,14910750,0,96219,150553901,157352665,0,421,2213834752
2022-09-05 15:18:45,34.148.111.75:26258,857,706,0.667,0.343,179447893,317158,5383664,0,0,0.0731,0,0,0,410,12868088,1965546,2460,1095,0,14868807,0.0909,94100,161242641,167793287,0,421,1990230016
2022-09-05 15:19:00,34.148.111.75:26258,857,709,1,0.329,180368052,323658,5397473,0,0,0.0800,1,16,0,410,12723538,1973784,2432,1097,0,14837349,0.0455,95067,154329333,160189862,0,421,1941012480
2022-09-05 15:19:15,34.148.111.75:26258,857,713,1,0.325,181719930,316440,5410451,0,0,0.0894,0,0,0,410,12448249,1988407,2378,1101,0,14795406,0.182,94843,156314206,162503097,0,421,1924075520
2022-09-05 15:19:30,34.148.111.75:26258,857,715,1.50,0.353,182950467,306556,5469519,0,0,0.0844,1,3,0,614,12316474,1995890,2356,1103,0,14774435,0,96545,154276775,161093249,0,421,1909891072
2022-09-05 15:19:45,34.148.111.75:26258,857,718,1.17,0.345,185072223,311329,5493124,0,0,0.0712,1,6,0,0,12061996,2008883,2306,1106,0,14722006,0.0455,98829,155438690,162042512,0,421,1856761856
2022-09-05 15:20:00,34.148.111.75:26258,857,720,0.833,0.336,185097986,313778,5371797,0,0,0.0681,0,0,0,205,11941138,2016117,2282,1108,0,14701035,0.0455,97673,160865776,167246910,0,421,1942671360
2022-09-05 15:20:15,34.148.111.75:26258,857,724,1.17,0.336,186660765,6321339,6367323,0,0,0.0638,0,0,0,0,11706032,2028001,2236,1112,0,14648606,0.0909,99646,162290874,168910817,0,421,1956773888
